,file_path,sentence,section,labels, entities,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
83,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\5_contrib-group.xml,Ghamgosar Arezoo https://orcid.org/0000-0001-8805-0325   1   Nemati‐Anaraki Leila https://orcid.org/0000-0002-9436-2533   2   Zarghani Maryam https://orcid.org/0000-0002-8702-1298   3   Bazri Hooman   4   Ahmadian Leila https://orcid.org/0000-0002-6487-2209   5   Galavi Zahra https://orcid.org/0000-0003-1179-0055   6   Norouzi Somaye https://orcid.org/0000-0003-1695-3810   7   Norouzis921@gmail.com,AUT,"Ghamgosar Arezoo, Leila, Zarghani Maryam, Bazri Hooman, Ahmadian Leila, Galavi Zahra, Norouzi Somaye https://orcid.org/0000-0003-1695-3810   ","PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON","0, 76, 126, 186, 205, 264, 321","16, 81, 141, 198, 219, 276, 376",,,,
84,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12389585\sections\1_front\1_article-meta\5_contrib-group.xml,https://orcid.org/0000-0002-0340-3556 Fernandes C. 1 2 3,AUT,Fernandes C. 1 2 3,PERSON,38,56,,,,
87,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\4_conclusion\2_p.xml,"ML has started to change some important aspects of health care, such as diagnosis and screening of diseases.",CON,ML,ORG,0,2,,,,
88,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\4_conclusion\2_p.xml,"A bibliometric study was done to analyze the global condition and trends of research in the field of ML and diabetes, which allows readers to achieve a sound understanding of the literature on this field.",CON,ML,ORG,101,103,,,,
89,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\4_conclusion\2_p.xml,"The study highlights the importance of considering risk factors and prevalence in developing ML prediction models, and emphasizes the need for expert validation of these models.",CON,ML,ORG,93,95,,,,
90,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\4_conclusion\2_p.xml,Funding should target international collaborations using ML to improve diabetes care in lower‐income nations.,CON,ML,ORG,57,59,,,,
95,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12389585\sections\2_body\2_3._conclusions_and_outlook\1_p.xml,"The featured studies show that integrating AI methods, ranging from neural networks and evolutionary optimization to physics-informed frameworks and ensemble learners, can greatly enhance our ability to predict, understand, and design polymeric materials.",CON,AI,ORG,43,45,,,,
102,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12389585\sections\2_body\2_3._conclusions_and_outlook\2_p.xml,"Looking forward, further progress will likely come from more tightly integrating physics-based knowledge with ML (as in PINNs and hybrid models), expanding open polymer datasets for training, and improving interpretability and uncertainty quantification.",CON,ML,ORG,110,112,,,,
106,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12389585\sections\2_body\2_3._conclusions_and_outlook\3_p.xml,"Future research should build on these foundations by developing hybrid multi-scale frameworks that seamlessly couple molecular simulations (MD/DFT) with continuum-scale ML models to predict processing–structure–property maps; embedding robust uncertainty quantification (e.g., Bayesian PINNs, ensemble learning) to deliver prediction intervals alongside point estimates, critical for design under uncertainty and regulatory approval; creating shared, standardized polymer data repositories and benchmarks that enable fair comparison, reproducibility, and meta-learning across different polymer classes and experimental conditions; optimizing physics–ML co-solvers for large-scale manufacturing simulations, leveraging reduced-order modeling, operator learning, and adaptive sampling to enable real-time digital twins of polymer processes; and expanding reinforcement-learning and generative models for closed-loop, autonomous material discovery, where AI not only predicts properties but also actively proposes and synthesizes novel polymer chemistries in laboratory workflows.",CON,"MD/DFT, ML, AI","ORG, ORG, ORG","140, 169, 952","146, 171, 954",,,,
112,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\10_p.xml,"As a result, we found that the PRS and ML prediction showed a similar prediction performance based upon ranking individuals according by their prediction scores.",DIS,"PRS, ML","ORG, ORG","31, 39","34, 41",,,,
113,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\10_p.xml,"The predictions from ML and PRS, however, were highly correlated, explaining the similarity of the prediction accuracies and reducing the likelihood that an ensemble of the different methods would improve prediction.",DIS,"ML, PRS","ORG, ORG","21, 28","23, 31",,,,
114,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\10_p.xml,"Second, the methods used for selection of top SNPs in interpreting model results reflect inherent differences in how the ML approaches work, and no standard thresholds exist at the moment for identifying important features across these distinct frameworks.",DIS,ML,ORG,121,123,,,,
115,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\10_p.xml,"This methodological variability, which is a broader challenge in the field, likely contributes to the incomplete overlap between the top SNPs identified by different ML approaches, making replication in external summary statistics a critical step to ensure robust findings.",DIS,ML,ORG,166,168,,,,
116,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\10_p.xml,"Third, the influence of  APOE  status on model outcomes is a key component of all models in the study.",DIS,APOE,ORG,25,29,,,,
117,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\10_p.xml,"While  APOE  SNPs were included as predictors, we did not conduct analyses stratified by  APOE  carrier status, especially ε3/ε3, ε3/ε4, or ε4/ε4 carriers.",DIS,"APOE, APOE","ORG, ORG","7, 90","11, 94",,,,
120,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\10_p.xml,"Indeed, within a central learning paradigm, current best practices for data harmonisation involve merging datasets based on shared high-quality SNPs that have undergone rigorous quality control, ensuring high imputation accuracy, reasonably large minor allele frequencies (MAF), and other metrics in each separate study.",DIS,MAF,ORG,273,276,,,,
122,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\10_p.xml,"Applying flexible ML within an FL framework leverages the advantages of client-specific data, which is often more homogeneous as it is typically generated locally, within the same population, using similar clinical assessments and the same genotyping chip.",DIS,ML,ORG,18,20,,,,
125,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\11_p.xml,"Though replication challenges remain, ML successfully prioritised established risk loci and identified biologically relevant novel associations, including variants in  ARHGAP25 ,  COG7 ,  LY6H , and  SOD1 .",DIS,"ML, COG7, LY6H","ORG, ORG, ORG","38, 180, 188","40, 184, 192",,,,
126,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\11_p.xml,These findings highlight ML’s potential to refine our understanding of AD beyond additive genetic effects and expand the toolkit available for maximising discovery from available data.,DIS,ML,ORG,25,27,,,,
127,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\11_p.xml,"With expanding datasets and computational advances, ML could further enhance risk prediction and gene discovery, particularly through federated learning and multi-omic integration.",DIS,ML,ORG,52,54,,,,
128,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\11_p.xml,This study marks a key step toward leveraging ML for deeper insights into AD genetics.,DIS,ML,ORG,46,48,,,,
129,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\1_p.xml,"In leveraging the largest genotyped case-control AD dataset, this study demonstrates that the current scale of data has reached a threshold where ML can achieve similar predictive accuracy to classical methods and uncover novel genetic insights into AD.",DIS,ML,ORG,146,148,,,,
131,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\1_p.xml,"These methods offer distinct advantages: highly performant tree ensembles (GBMs), flexible networks incorporating prior knowledge (NNs), and detection of SNP-SNP interactions (MB-MDR) 26 .",DIS,"SNP-SNP, MB-MDR","ORG, ORG","154, 176","161, 182",,,,
132,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\1_p.xml,"Here they were applied to identify novel genes not detectable via GWAS, and to compare ML prediction accuracies with PRS.",DIS,"ML, PRS","ORG, ORG","87, 117","89, 120",,,,
133,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\2_p.xml,"ML methods correctly identified the lead SNPs used to calculate the  APOE  haplotype, rs7412 and rs429358, as having the greatest impact on the model, in contrast to classical univariable linear models (traditional GWAS) which do not distinguish between top variants by  p -value, and rank rs7412 lower (Fig.",DIS,"ML, APOE, linear, Fig","ORG, ORG, ORG, PERSON","0, 69, 188, 304","2, 73, 194, 307",,,,
135,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\2_p.xml,PRS for AD risk prediction perform best when modelled with two predictors: PRS calculated without the  APOE  region and a separately coded weighting of the  APOE  e2 and e4 alleles 27 .,DIS,"APOE, APOE","ORG, ORG","103, 157","107, 161",,,,
136,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\2_p.xml,"Here, we demonstrate that ML approaches can accurately identify  APOE  clusters and achieve comparable prediction accuracy without including the derived  APOE  variable as a second predictor.",DIS,"ML, APOE, APOE","ORG, ORG, ORG","26, 65, 154","28, 69, 158",,,,
137,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\2_p.xml,"ML approaches further detected the lead SNPs identified in large meta-analyses GWAS for several key genes, including  BIN1  (rs6733839),  PICALM  (rs3851179),  ABCA7  (rs3752246, a coding variant),  CASS4  (rs6069736) and  CR1  (rs4844610).",DIS,"ML, PICALM, ABCA7, rs6069736","ORG, PERSON, PERSON, PERSON","0, 138, 160, 207","2, 144, 165, 216",,,,
138,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\2_p.xml,"More broadly, ML highlighted SNPs in around 22% of genes identified by larger meta-analysis GWAS 23 – 25 , while comparison to a GWAS undertaken on the same (EADB-core) split that was used to train machine learning models, showed that 100% of genome-wide significant SNPs ( p  ≤ 5 × 10 −8 ) were retrieved by ML approaches.",DIS,"ML, ML","ORG, ORG","14, 309","16, 311",,,,
140,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\2_p.xml,"Though strides have been made in ML-based prediction of AD from genetic data, for example 28 , to our knowledge we present the first well-powered, genome-wide ML-based gene discovery study detecting nearly a quarter of known genes found in larger GWAS meta-analyses from the literature which contain around twenty times the sample size, while also identifying multiple putative regions with credible associations to AD biology, marking an important benchmark for these methods.",DIS,"ML, ML","ORG, ORG","33, 159","35, 161",,,,
141,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\3_p.xml,"Putative novel genes which replicate in an independent GWAS consist of  ARHGAP25, COG7 ,  LINC00924/LOC105369212, LY6H, SOD1  and  ZNF597 , which have potential relevance to AD.",DIS,"COG7, ZNF597","PERSON, ORG","82, 131","86, 137",,,,
143,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\3_p.xml,Wu et al.,DIS,Wu,PERSON,0,2,,,,
144,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\3_p.xml,"31  demonstrated that Ly6h is among the proteins competing to bind to α7 subunits of nicotinic acetylcholine receptors (nAChRs), which are expressed throughout the brain and enable fast cholinergic transmission at synapses.",DIS,Ly6h,ORG,22,26,,,,
146,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\3_p.xml,This delicate balance is disrupted during Alzheimer’s disease due to Aβ-driven reduction in Ly6h.,DIS,Ly6h,ORG,92,96,,,,
147,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\3_p.xml,"Notably, an increase in Ly6h in human cerebrospinal fluid correlates with elevated Alzheimer’s disease severity 31 .",DIS,Ly6h,ORG,24,28,,,,
148,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\4_p.xml,"COG7  (Component of Oligomeric Golgi Complex 7) encodes a protein integral to Golgi apparatus function, which is essential for protein glycosylation and trafficking.",DIS,COG7,ORG,0,4,,,,
150,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\4_p.xml,"Mutations in COG7 are associated with Congenital Disorders of Glycosylation (CDG) 32 , which frequently manifest with neurological impairments.",DIS,"COG7, Congenital Disorders of Glycosylation, CDG","ORG, ORG, ORG","13, 38, 77","17, 75, 80",,,,
152,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\5_p.xml,ML hits which replicate also include the missense variant rs2306331 ( AP4E1 ).,DIS,ML,ORG,0,2,,,,
153,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\5_p.xml,"This is within the known locus of  SPPL2A  (maximum  r 2   0.32 , minimum distance 177 kb with rs2306331 and GWAS catalogue hits for  SPPL2A ), but may be an independent signal with the region.",DIS,"SPPL2A, SPPL2A","ORG, ORG","35, 134","41, 140",,,,
154,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\5_p.xml,"The  AP4E1  gene encodes the ε subunit of adaptor protein complex-4 (AP-4), which facilitates the transport of amyloid precursor protein (APP) from the trans-Golgi network to endosomes.",DIS,APP,ORG,138,141,,,,
156,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\6_p.xml,"We also note that ML-derived hits in the know loci  IDUA  and  DGKQ  (rs4690324, linked via sQTLs in GTEX to splicing of  IDUA  in the brain 35 ) are also related to heparan sulfate metabolism 36 , in addition to multiple brain diseases 37 , traits 38 , and lipid metabolism 39 .",DIS,"ML, IDUA, rs4690324, GTEX, IDUA","ORG, ORG, PERSON, ORG, ORG","18, 52, 70, 101, 122","20, 56, 79, 105, 126",,,,
160,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\6_p.xml,"SOD1  has been widely investigated for its role in antioxidant defense system, showing impaired expression in AD patients 40 , 41 , but is currently primarily implicated in ALS.",DIS,ALS,ORG,173,176,,,,
161,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\7_p.xml,"In our study, we adopted an MB-MDR approach to detect both SNP main effects and pair-wise SNP-SNP interactions.",DIS,"MB-MDR, SNP, SNP","ORG, ORG, ORG","28, 59, 90","34, 62, 93",,,,
163,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\7_p.xml,"However, it implements a somewhat conservative strategy for variant discovery, as interaction studies are hampered by several factors that can increase the number of false positives including, but not limited to, LD and interference of major loci, which may contribute to phantom epistasis.",DIS,LD,ORG,213,215,,,,
164,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\7_p.xml,"To address this limitation, we opted for a model-based (MB) form of MDR, though the results did not highlight novel loci.",DIS,"MB, MDR","ORG, ORG","56, 68","58, 71",,,,
165,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\8_p.xml,"Comparing individual scores, ML predictions achieved correlations of 0.8-0.84 with PRS, indicating ML models give predictions which are broadly consistent with well-established approaches.",DIS,"ML, PRS, ML","ORG, ORG, ORG","29, 83, 99","31, 86, 101",,,,
167,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\8_p.xml,"Disease risk prediction from ML, as assessed by AUC, was higher (but not significantly) than PRS.",DIS,"ML, AUC","ORG, ORG","29, 48","31, 51",,,,
170,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\8_p.xml,"First, SNPs in general are (at best) only correlated with the causal variants, making it particularly difficult to detect nonlinear effects and interactions, which are the main potential advantages of ML over PRS.",DIS,ML,ORG,201,203,,,,
173,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\8_p.xml,"Weak predictor-response relationships are an inherent challenge to finding patterns with flexible models, and complex models may at-present still be under-powered to achieve a clear improvement in AUC.",DIS,AUC,ORG,197,200,,,,
176,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\8_p.xml,"For example, the OR for  APOE  is around 3.4 in samples of mean age 72−73 years 45  but is reduced in samples over 90 years 46 .",DIS,APOE,ORG,25,29,,,,
177,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\8_p.xml,"In pathologically-confirmed samples, which are also generally older than clinical samples, some of the GWAS-derived SNP effect sizes are higher than reported in clinically-assessed AD GWAS 47 .",DIS,SNP,ORG,116,119,,,,
178,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\8_p.xml,"In more homogenous samples in terms of age, population, and cognitive scores (such as The  Alzheimer’s Disease Neuroimaging Initiative (ADNI) 48 ), the AD PRS AUC are higher than that in clinical samples 49 , 50 .",DIS,the AD PRS AUC,ORG,148,162,,,,
179,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\8_p.xml,"Thus, summary statistics from large GWAS meta-analyses enable PRS which predict with moderate AUC in any data set, but which do not achieve high accuracy as effect sizes are averaged across many studies with slightly different features such as recruitment criteria and outcome definitions, and therefore genetic architectures, rather than being specific to a particular one.",DIS,AUC,ORG,94,97,,,,
181,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\9_p.xml,Such SNPs may nonetheless represent important loci which impact disease risk in specific contexts without being consistently associated across enough studies and circumstances to reach genome-wide significance under linear models in meta-analyses.,DIS,linear,ORG,216,222,,,,
182,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\9_p.xml,"While machine learning models here do not show signs of overfitting, and top SNP rankings by SHAP values are consistent in both the train and test splits, many SNPs identified do not replicate in an external dataset, which is also the case for standard GWAS.",DIS,"SNP, SHAP","ORG, ORG","77, 93","80, 97",,,,
183,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\9_p.xml,"In particular, in PRS approaches using different priors (for Bayesian models) or LD pruning parameters (in clumping and thresholding approaches), the resulting set of SNPs and their estimated effects will differ 27 , 52 .",DIS,PRS,ORG,18,21,,,,
184,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\2_discussion\9_p.xml,"Similarly, when effects of SNPs are jointly estimated in sparse, high-dimensional ML models, either simultaneously or in a stage-wise manner (as in gradient boosting), different top associations and predictions are expected.",DIS,ML,ORG,82,84,,,,
191,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\11_p.xml,"While hotspot selection is often considered a central step in Ki67 scoring, there are no precise instructions on how to choose a hotspot or assess one; for a discussion of this topic see for example Volynskaya et al.",DIS,Volynskaya,PERSON,199,209,,,,
199,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\12_p.xml,"In comparison with the chosen reference standard, the ML based image analysis demonstrated a better agreement in correctly detecting individual tumor cells, both Ki67 positive and negative, compared to the non-ML approach, resulting in improved Ki67 score calculation.",DIS,ML,ORG,54,56,,,,
204,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\14_p.xml,"In the future, we aim to integrate the ML-based image analysis tool in routine diagnostics.",DIS,ML,ORG,39,41,,,,
205,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\14_p.xml,"A possible integration scenario can be for ML to flag the borderline cases, those near the G1/G2 threshold, for a more comprehensive manual review.",DIS,ML,ORG,43,45,,,,
208,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\14_p.xml,"This will involve further validation studies, including detailed analyses of comprehensive datasets of NET subtypes, outcome studies in patients with NETs, as well as the use of large external tumor datasets to validate the performance of the image analysis tool.",DIS,NET,ORG,103,106,,,,
212,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\1_p.xml,"However, even if an image analysis tool returns the correct number of detected cells, the same as the reference standard, it does not guarantee that the correct cells have been identified (Supplementary Table S3 and S4 for detailed counts of tumor cells).",DIS,S4,PERSON,216,218,,,,
214,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\1_p.xml,"To achieve this, performance of a ML-based and a non-ML-based image analysis tool were evaluated in estimating Ki67 score in NETs.",DIS,ML,ORG,34,36,,,,
216,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\1_p.xml,"While the chosen ML-based platform, supported by strong customer service, exemplifies the state-of-the-art technology and facilitates easy implementation for first-time users.",DIS,ML,ORG,17,19,,,,
218,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\2_p.xml,"This study specifically focused on challenging NET cases with a low Ki67 score of less than 5%, as accurate estimation of Ki67 score is particularly important for these low proliferating tumors, where a prognostically significant cut-off value of 3% separates G1 from G2 tumors 32 .",DIS,NET,ORG,47,50,,,,
224,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\3_p.xml,"However, the ML-based analysis with Aiforia exhibited better agreement with the reference standard in both cell detection and Ki67 score calculation compared to the non-ML-based analysis with ImageScope.",DIS,"ML, Aiforia, ImageScope","ORG, PERSON, ORG","13, 36, 192","15, 43, 202",,,,
226,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\4_p.xml,"The superior performance of the ML-based tool may stem from its use of supervised learning, which enables it to adapt to the data and learn parameters instead of relying on fixed, predefined parameters 34 .",DIS,ML,ORG,32,34,,,,
227,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\4_p.xml,"However, the performance of Aiforia also showed limitations, manifested by its tendency to pick more positively Ki67-stained cells, including (i) faintly stained Ki67 positive tumor cells which were dismissed by the pathologist (SL), or (ii) Ki67 positively stained proliferating non-tumor cells, resulting in a slightly higher estimated score.",DIS,Aiforia,PERSON,28,35,,,,
231,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\5_p.xml,Vesterinen et al.. reported a mildly better agreement between their trained Aiforia model and manual counting 33 .,DIS,"Vesterinen, Aiforia","ORG, PERSON","0, 76","10, 83",,,,
235,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\6_p.xml,"Two main shortcomings in the performance of the non-ML analysis with ImageScope were observed, namely (i) difficulties distinguishing tumor from non-tumor cells, and (ii) issues related to the segmentation of individual cells.",DIS,ImageScope,ORG,69,79,,,,
238,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\6_p.xml,"Depending on the distribution of cell types within a sample, this issue would frequently lead to the over-counting of tumor cells (Supplementary Table S3 and S4 for detailed counts of tumor cells).",DIS,S4,PERSON,158,160,,,,
239,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\6_p.xml,"Non-ML-based analysis tools typically operate with a set of predefined parameters, and thus lack flexibility and adaptability when dealing with complex tasks.",DIS,Non-ML,ORG,0,6,,,,
241,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\6_p.xml,"Using a similar method, Volynskaya et al.. reported that their ImageScope analysis correlated with the pathologists’ results, after manual removal of the stroma within the analyzed regions 36 .",DIS,"Volynskaya, ImageScope","PERSON, ORG","24, 63","34, 73",,,,
244,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\7_p.xml,The second shortcoming in the performance of ImageScope was related to imprecise segmentations.,DIS,ImageScope,ORG,45,55,,,,
248,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\7_p.xml,"Secondly, ImageScope faces challenges in correctly segmenting Ki67 positive tumor cells in cases of inhomogeneous staining.",DIS,ImageScope,ORG,10,20,,,,
251,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\7_p.xml,"One approach to overcome the segmentation problem is to measure the area fraction, which compares the area of brown-stained nuclei to the total area of brown- and blue-stained nuclei 40 .",DIS,brown-,ORG,152,158,,,,
254,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\8_p.xml,Our study stands out as one of the few that specifically investigated the use of ML for estimating the Ki67 score in gastroenteropancreatic NETs.,DIS,ML,ORG,81,83,,,,
255,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\8_p.xml,"Other similar studies have also developed ML models, either using proprietary software 33  or open source software 32 , 41 , 42 .",DIS,ML,ORG,42,44,,,,
256,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\8_p.xml,"Using proprietary software, like Aiforia 43 , 44  offers certain advantages, such as fast and reliable customer support and often a more intuitive user interface.",DIS,Aiforia 43,PERSON,33,43,,,,
257,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\2_body\3_discussion\8_p.xml,"These factors make it easier, even for pathologists, to fine-tune an ML model.",DIS,ML,ORG,69,71,,,,
266,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\3_discussion\2_p.xml,This bibliometric study aimed to identify studies concerning ML in the context of diabetes.,DIS,ML,ORG,61,63,,,,
267,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\3_discussion\2_p.xml,"This study is among the first to conduct a bibliometric analysis on ML applications in diabetes care, including 5,222 articles adopted from WoS.",DIS,ML,ORG,68,70,,,,
268,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\3_discussion\2_p.xml,"The findings of this bibliometric analysis show a rich overview of the growth of scientific literature on ML in the context of diabetes over the past fourteen years, especially in 2018.",DIS,ML,ORG,106,108,,,,
269,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\3_discussion\2_p.xml,This can be due to the high prevalence of diabetes worldwide and the application of ML to diagnose and treat diabetes in recent years.,DIS,ML,ORG,84,86,,,,
273,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\3_discussion\3_p.xml,"According to the results, USA has been at the forefront of ML research themes and diabetes, and the previous studies confirm the findings of this paper  18 ,  19 .",DIS,ML,ORG,59,61,,,,
275,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\3_discussion\3_p.xml,The presence of technology giants such as Google and Microsoft in this country can be a basis for the tendency or desire to publish more in this field.,DIS,"Google, Microsoft","ORG, ORG","42, 53","48, 62",,,,
280,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\3_discussion\3_p.xml,"On the other hand, China is among the semi‐developed ones, which have sufficient technical infrastructure to conduct ML studies, so it can be a motive for the researchers of these countries to use these models.",DIS,ML,ORG,117,119,,,,
286,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\2_body\3_discussion\4_p.xml,"Emerging economies, such as India and Saudi Arabia, are leveraging international collaborations to harness ML capabilities in addressing the challenges of diabetes  25 .",DIS,ML,ORG,107,109,,,,
